player_id,recent_team,season,week,passing_epa,season_type,completions,interceptions,passing_tds,attempts,sacks,passing_yards
00-0035100,CIN,2023,12,-2.747910093474186,REG,19,1,1,26,4,227
00-0035100,CIN,2023,13,19.50506688831062,REG,32,0,1,37,2,354
00-0035100,CIN,2023,14,7.979605776898097,REG,18,1,2,24,0,275
00-0035100,CIN,2023,15,10.253093997918768,REG,29,1,2,42,4,324
00-0035100,CIN,2023,16,-8.639249561096868,REG,28,3,1,42,3,335
00-0035100,CIN,2023,17,0.0672544692590038,REG,19,0,1,33,6,197
00-0035100,CIN,2023,18,2.503222872829731,REG,18,1,3,24,2,156
00-0035228,ARI,2023,10,-5.510303714336204,REG,19,1,0,32,2,249
00-0035228,ARI,2023,11,-6.826709361931806,REG,20,1,1,30,3,214
00-0035228,ARI,2023,12,-13.317040873352765,REG,27,0,1,45,4,256
00-0035228,ARI,2023,13,1.1446906625345359,REG,13,0,1,23,2,145
00-0035228,ARI,2023,15,-6.408165062213152,REG,26,2,1,39,3,211
00-0035228,ARI,2023,16,-5.7748675456398555,REG,24,0,2,38,2,230
00-0035228,ARI,2023,17,9.116396065266414,REG,25,1,3,31,1,232
00-0035228,ARI,2023,18,14.697530754196652,REG,22,0,1,30,1,262
00-0035264,DEN,2023,17,4.700232412085761,REG,20,0,1,32,2,224
00-0035264,DEN,2023,18,0.3531887839199044,REG,20,1,1,34,5,272
00-0035282,LAC,2023,14,-6.7211686507216655,REG,13,0,0,24,2,179
00-0035282,LAC,2023,15,-10.32050233357586,REG,23,1,3,32,3,257
00-0035282,LAC,2023,16,-1.0849161199779078,REG,23,0,0,33,5,215
00-0035282,LAC,2023,17,-0.6990487659365119,REG,24,0,0,38,1,220
00-0035282,LAC,2023,18,-15.186350245580389,REG,28,0,0,47,3,258
00-0035289,IND,2023,1,-4.754616433085175,REG,0,0,0,2,0,0
